PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
E86615,601023.0,37.0,2799.47,2594.08,1256.0,2.0
E86618,601023.0,76.0,3207.14,2974.37,2464.0,1.0
E86619,601023.0,31.0,1274.77,1181.16,964.0,1.0
E86620,601023.0,47.0,3018.48,2796.54,3296.0,0.0
E86625,601023.0,77.0,3157.03,2927.14,2397.0,2.0
E86626,601023.0,67.0,2926.3,2711.4,1591.0,1.0
E86629,601023.0,32.0,1767.22,1637.94,1503.0,1.0
E86632,601023.0,78.0,3814.34,3536.62,2552.0,0.0
E86637,601023.0,130.0,5943.64,5507.57,4590.0,2.0
E86640,601023.0,29.0,704.54,653.84,784.0,1.0
E87002,601023.0,246.0,8197.18,7608.03,6157.0,1.0
E87003,601023.0,100.0,3367.15,3126.49,2198.0,2.0
E87004,601023.0,111.0,5433.93,5040.36,3623.0,1.0
E87005,601023.0,37.0,2295.4,2126.83,1367.0,1.0
E87006,601023.0,35.0,1667.0,1546.1,889.0,0.0
E87007,601023.0,25.0,1875.88,1738.6,837.0,0.0
E87008,601023.0,108.0,4831.22,4479.76,2795.0,2.0
E87009,601023.0,96.0,2524.49,2346.49,1517.0,1.0
E87010,601023.0,69.0,1886.65,1753.24,1390.0,0.0
E87011,601023.0,141.0,5292.48,4911.62,3727.0,2.0
E87013,601023.0,96.0,4264.99,3957.48,2928.0,1.0
E87016,601023.0,37.0,3014.13,2792.87,2350.0,1.0
E87021,601023.0,18.0,909.53,842.71,706.0,2.0
E87024,601023.0,110.0,3988.51,3697.53,2838.0,2.0
E87026,601023.0,62.0,3333.1,3089.96,1604.0,2.0
E87029,601023.0,86.0,2969.51,2756.71,2461.0,0.0
E87034,601023.0,217.0,7554.11,7013.21,5272.0,0.0
E87037,601023.0,57.0,3336.16,3091.01,2531.0,1.0
E87038,601023.0,101.0,2527.86,2349.58,1977.0,2.0
E87043,601023.0,41.0,1885.26,1748.99,1750.0,0.0
E87045,601023.0,46.0,1835.43,1702.61,1455.0,1.0
E87046,601023.0,52.0,2352.45,2181.99,1600.0,0.0
E87047,601023.0,197.0,6655.01,6176.74,4574.0,2.0
E87048,601023.0,37.0,840.02,781.57,620.0,1.0
E87050,601023.0,29.0,1439.27,1334.84,1003.0,0.0
E87052,601023.0,63.0,2149.03,1994.11,1484.0,2.0
E87057,601023.0,29.0,2484.51,2302.43,1462.0,2.0
E87061,601023.0,25.0,1647.62,1526.67,1602.0,0.0
E87063,601023.0,86.0,5187.55,4810.1,3079.0,0.0
E87065,601023.0,48.0,2013.82,1868.97,1023.0,2.0
E87066,601023.0,73.0,2211.36,2051.06,1922.0,0.0
E87067,601023.0,120.0,4420.6,4103.1,2827.0,2.0
E87069,601023.0,5.0,260.9,241.83,227.0,0.0
E87070,601023.0,53.0,2726.15,2527.46,2051.0,0.0
E87609,601023.0,81.0,5415.65,5020.37,3352.0,1.0
E87637,601023.0,93.0,4084.04,3784.26,3524.0,0.0
E87648,601023.0,36.0,1506.75,1396.73,1181.0,1.0
E87663,601023.0,46.0,1870.04,1734.26,1523.0,2.0
E87665,601023.0,36.0,2429.35,2251.91,1229.0,1.0
E87677,601023.0,10.0,683.29,633.65,473.0,0.0
E87681,601023.0,69.0,5671.13,5255.64,3896.0,0.0
E87682,601023.0,148.0,5542.09,5140.96,4266.0,0.0
E87701,601023.0,42.0,2533.52,2347.58,2244.0,1.0
E87702,601023.0,8.0,686.52,636.0,360.0,1.0
E87706,601023.0,34.0,1775.61,1645.95,1328.0,2.0
E87714,601023.0,100.0,3180.57,2954.14,2184.0,0.0
E87715,601023.0,32.0,3137.71,2907.49,2039.0,0.0
E87720,601023.0,74.0,3377.14,3132.22,2874.0,0.0
E87722,601023.0,28.0,1731.5,1605.02,1160.0,0.0
E87733,601023.0,137.0,5478.69,5084.67,4103.0,2.0
E87735,601023.0,18.0,1228.65,1138.49,535.0,2.0
