PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A83012,601021.0,230.0,491.27,463.16,12066.0,2.0
A83013,601021.0,208.0,451.35,427.12,12788.0,2.0
A83014,601021.0,92.0,368.36,345.01,6945.0,3.0
A83015,601021.0,188.0,699.77,661.24,7404.0,3.0
A83016,601021.0,227.0,434.41,414.53,10565.0,2.0
A83017,601021.0,131.0,379.11,358.87,7874.0,3.0
A83018,601021.0,337.0,486.7,474.96,13096.0,3.0
A83019,601021.0,72.0,183.36,173.41,3422.0,2.0
A83020,601021.0,171.0,586.42,553.09,9092.0,3.0
A83021,601021.0,208.0,527.49,500.2,8173.0,2.0
A83022,601021.0,367.0,946.31,894.46,22532.0,1.0
A83023,601021.0,220.0,413.28,397.04,9150.0,2.0
A83024,601021.0,122.0,292.7,278.83,6820.0,3.0
A83025,601021.0,338.0,1085.02,1034.39,10222.0,2.0
A83026,601021.0,107.0,238.21,225.26,6357.0,1.0
A83027,601021.0,88.0,393.0,371.71,4124.0,1.0
A83028,601021.0,152.0,266.69,254.48,6721.0,3.0
A83029,601021.0,58.0,122.66,118.13,3522.0,3.0
A83030,601021.0,196.0,773.83,725.15,11418.0,1.0
A83031,601021.0,139.0,343.55,327.06,7980.0,3.0
A83032,601021.0,42.0,116.34,108.96,1950.0,3.0
A83033,601021.0,164.0,352.2,337.18,7603.0,3.0
A83034,601021.0,89.0,223.8,211.51,6251.0,1.0
A83035,601021.0,93.0,324.49,306.9,3594.0,3.0
A83036,601021.0,96.0,296.07,277.82,10003.0,3.0
A83037,601021.0,213.0,610.95,575.74,7587.0,3.0
A83038,601021.0,41.0,109.1,102.34,1806.0,1.0
A83040,601021.0,161.0,453.81,428.69,10460.0,2.0
A83041,601021.0,282.0,384.86,373.84,8967.0,3.0
A83042,601021.0,60.0,135.19,127.16,3071.0,2.0
A83043,601021.0,72.0,207.85,194.45,2201.0,3.0
A83044,601021.0,118.0,394.02,371.2,5764.0,2.0
A83045,601021.0,228.0,698.39,662.49,13631.0,1.0
A83046,601021.0,198.0,562.04,527.03,11520.0,3.0
A83047,601021.0,102.0,321.87,301.79,6785.0,1.0
A83048,601021.0,47.0,127.89,119.51,3400.0,3.0
A83049,601021.0,209.0,358.46,342.07,10231.0,1.0
A83050,601021.0,131.0,399.88,380.22,6231.0,1.0
A83051,601021.0,325.0,620.53,601.88,11037.0,1.0
A83052,601021.0,180.0,333.79,320.36,6262.0,3.0
A83054,601021.0,207.0,387.06,363.91,13066.0,3.0
A83055,601021.0,32.0,68.1,65.48,2317.0,3.0
A83057,601021.0,166.0,475.67,450.42,8117.0,2.0
A83060,601021.0,24.0,50.39,47.07,968.0,3.0
A83061,601021.0,28.0,78.17,72.41,984.0,3.0
A83066,601021.0,213.0,548.22,520.4,7226.0,2.0
A83070,601021.0,42.0,102.35,95.9,1779.0,3.0
A83071,601021.0,90.0,172.85,166.2,4889.0,1.0
A83072,601021.0,22.0,86.41,80.71,1974.0,3.0
A83073,601021.0,94.0,278.34,263.07,5373.0,3.0
A83074,601021.0,147.0,418.25,394.99,5694.0,2.0
A83075,601021.0,144.0,299.61,285.71,5188.0,3.0
A83076,601021.0,78.0,136.59,131.96,2594.0,3.0
A83603,601021.0,41.0,110.63,104.58,2330.0,2.0
A83610,601021.0,16.0,31.75,30.31,578.0,2.0
A83616,601021.0,29.0,103.94,97.13,1768.0,2.0
A83617,601021.0,68.0,124.08,119.99,2413.0,1.0
A83618,601021.0,54.0,149.43,139.77,3338.0,1.0
A83619,601021.0,104.0,221.64,210.26,4205.0,2.0
A83622,601021.0,47.0,111.85,103.7,3390.0,3.0
A83626,601021.0,44.0,164.32,153.36,1708.0,3.0
A83627,601021.0,150.0,308.14,294.26,5833.0,2.0
A83630,601021.0,27.0,84.18,79.11,2244.0,2.0
A83632,601021.0,28.0,160.54,149.55,1876.0,2.0
A83634,601021.0,82.0,163.33,156.78,2421.0,2.0
A83635,601021.0,47.0,79.33,76.65,1823.0,1.0
A83636,601021.0,107.0,190.86,179.7,6134.0,1.0
A83637,601021.0,52.0,103.46,98.56,3239.0,2.0
A83641,601021.0,50.0,95.34,89.72,2874.0,2.0
A83644,601021.0,47.0,140.26,132.68,2906.0,2.0
A84002,601021.0,47.0,191.65,180.4,3915.0,3.0
A84003,601021.0,283.0,912.27,853.7,17057.0,1.0
A84005,601021.0,174.0,591.23,552.27,13503.0,1.0
A84006,601021.0,358.0,1304.86,1219.37,20531.0,3.0
A84007,601021.0,248.0,574.28,543.33,10588.0,3.0
A84008,601021.0,82.0,199.33,186.86,4600.0,3.0
A84009,601021.0,381.0,1095.66,1028.13,28427.0,1.0
A84011,601021.0,127.0,237.14,222.33,7488.0,3.0
A84013,601021.0,120.0,413.29,385.24,9668.0,2.0
A84014,601021.0,183.0,721.82,676.84,17943.0,3.0
A84015,601021.0,109.0,217.6,205.69,5509.0,2.0
A84016,601021.0,83.0,375.57,349.17,6900.0,1.0
A84018,601021.0,106.0,207.72,196.33,6510.0,3.0
A84020,601021.0,138.0,499.06,465.92,13762.0,3.0
A84022,601021.0,210.0,535.64,507.02,15031.0,3.0
A84024,601021.0,129.0,319.05,302.49,7348.0,3.0
A84025,601021.0,90.0,238.76,224.85,4702.0,3.0
A84026,601021.0,195.0,1021.09,958.52,12123.0,3.0
A84027,601021.0,45.0,79.56,76.26,2107.0,3.0
A84028,601021.0,462.0,1267.4,1193.43,26498.0,2.0
A84029,601021.0,71.0,138.89,131.75,3938.0,3.0
A84030,601021.0,209.0,585.05,554.68,15610.0,3.0
A84031,601021.0,72.0,387.5,360.83,6544.0,3.0
A84032,601021.0,45.0,141.47,131.51,3032.0,3.0
A84033,601021.0,79.0,151.9,144.04,4574.0,3.0
A84034,601021.0,124.0,330.99,311.59,6796.0,3.0
A84035,601021.0,100.0,433.69,404.43,7868.0,3.0
A84036,601021.0,449.0,938.28,889.07,24883.0,3.0
A84037,601021.0,114.0,563.38,527.25,7843.0,3.0
A84038,601021.0,125.0,328.94,311.84,8917.0,3.0
A84039,601021.0,71.0,260.6,242.5,5518.0,3.0
A84040,601021.0,55.0,169.63,157.82,2589.0,3.0
A84042,601021.0,46.0,95.74,88.67,2996.0,3.0
A84043,601021.0,251.0,990.97,924.01,19629.0,1.0
A84044,601021.0,139.0,401.9,378.53,7268.0,3.0
A84045,601021.0,80.0,174.29,163.98,4554.0,3.0
A84047,601021.0,85.0,187.58,178.06,3925.0,3.0
A84604,601021.0,46.0,112.04,104.54,2902.0,3.0
A84609,601021.0,43.0,86.68,80.29,2898.0,3.0
A84614,601021.0,21.0,85.68,80.12,2534.0,3.0
A84619,601021.0,42.0,147.05,136.91,4380.0,1.0
A85001,601021.0,59.0,302.57,283.0,5327.0,1.0
A85002,601021.0,126.0,317.1,302.16,5525.0,3.0
A85003,601021.0,121.0,323.97,306.37,6373.0,3.0
A85004,601021.0,183.0,477.34,454.21,9249.0,2.0
A85005,601021.0,366.0,900.07,853.37,20334.0,2.0
A85006,601021.0,213.0,520.86,499.47,8744.0,1.0
A85007,601021.0,121.0,345.09,328.3,6432.0,1.0
A85008,601021.0,278.0,662.55,632.27,13912.0,3.0
A85009,601021.0,116.0,333.5,315.1,5107.0,2.0
A85010,601021.0,166.0,663.32,620.74,12821.0,1.0
A85011,601021.0,144.0,352.65,334.04,5563.0,2.0
A85012,601021.0,51.0,107.68,103.97,1737.0,2.0
A85013,601021.0,37.0,99.11,93.95,1194.0,2.0
A85014,601021.0,134.0,319.95,301.81,6391.0,3.0
A85016,601021.0,422.0,687.11,658.75,16051.0,2.0
A85017,601021.0,116.0,155.07,153.65,2911.0,0.0
A85018,601021.0,58.0,273.76,255.97,3080.0,3.0
A85019,601021.0,137.0,304.63,287.32,9978.0,2.0
A85020,601021.0,178.0,753.91,708.94,13964.0,3.0
A85021,601021.0,59.0,77.5,76.62,1481.0,0.0
A85023,601021.0,113.0,199.06,189.67,4833.0,2.0
