PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A83044,601022.0,267.0,1124.43,1054.66,20315.0,2.0
A83045,601022.0,564.0,2179.99,2044.51,46060.0,1.0
A83046,601022.0,470.0,1300.78,1217.63,33467.0,3.0
A83047,601022.0,593.0,2246.99,2113.7,43501.0,1.0
A83048,601022.0,159.0,734.26,684.72,11851.0,3.0
A83049,601022.0,586.0,1969.83,1851.97,42173.0,1.0
A83050,601022.0,388.0,1591.14,1492.0,32746.0,1.0
A83051,601022.0,449.0,1575.62,1487.32,33678.0,1.0
A83052,601022.0,413.0,1111.1,1054.15,21495.0,3.0
A83054,601022.0,678.0,2575.89,2406.41,57663.0,3.0
A83055,601022.0,132.0,476.75,447.43,11815.0,3.0
A83057,601022.0,380.0,867.56,827.34,21343.0,2.0
A83060,601022.0,132.0,539.22,503.8,8806.0,3.0
A83061,601022.0,114.0,412.45,382.32,7812.0,3.0
A83066,601022.0,455.0,1654.53,1556.43,26590.0,2.0
A83070,601022.0,133.0,365.1,341.51,8638.0,3.0
A83071,601022.0,251.0,752.85,708.86,19105.0,1.0
A83072,601022.0,74.0,372.96,347.37,8153.0,3.0
A83073,601022.0,272.0,910.66,856.92,19410.0,3.0
A83074,601022.0,630.0,2331.58,2184.12,50373.0,2.0
A83075,601022.0,370.0,734.88,700.19,18959.0,3.0
A83076,601022.0,147.0,480.54,452.46,7329.0,3.0
A83603,601022.0,113.0,366.18,344.68,8664.0,2.0
A83610,601022.0,127.0,286.05,272.37,7364.0,2.0
A83616,601022.0,135.0,411.87,386.65,9526.0,2.0
A83617,601022.0,167.0,457.5,431.04,12109.0,1.0
A83618,601022.0,172.0,444.99,415.51,10577.0,1.0
A83619,601022.0,255.0,697.26,655.23,16450.0,2.0
A83622,601022.0,109.0,348.63,323.56,8393.0,3.0
A83626,601022.0,125.0,342.05,318.76,7532.0,3.0
A83627,601022.0,328.0,730.94,694.97,18410.0,2.0
A83630,601022.0,118.0,399.23,376.79,8246.0,2.0
A83632,601022.0,113.0,538.73,502.63,15995.0,2.0
A83634,601022.0,179.0,490.57,461.74,11536.0,2.0
A83635,601022.0,157.0,540.9,506.76,10436.0,1.0
A83636,601022.0,281.0,683.03,645.67,15022.0,1.0
A83637,601022.0,125.0,344.9,324.93,8759.0,2.0
A83641,601022.0,168.0,521.93,488.05,12838.0,2.0
A83644,601022.0,217.0,919.92,857.2,20184.0,2.0
A84002,601022.0,103.0,601.69,561.34,13400.0,3.0
A84003,601022.0,516.0,2179.28,2029.96,47492.0,1.0
A84005,601022.0,376.0,2086.81,1945.4,35733.0,1.0
A84006,601022.0,818.0,3051.22,2859.63,62930.0,3.0
A84007,601022.0,518.0,1422.91,1335.2,32438.0,3.0
A84008,601022.0,164.0,589.97,549.81,14621.0,3.0
A84009,601022.0,792.0,3018.94,2820.92,82633.0,1.0
A84011,601022.0,196.0,564.4,529.22,16104.0,3.0
A84013,601022.0,252.0,1002.5,934.24,22771.0,2.0
A84014,601022.0,289.0,1630.64,1518.03,44322.0,3.0
A84015,601022.0,174.0,469.55,445.58,11206.0,2.0
A84016,601022.0,179.0,771.76,718.71,18702.0,1.0
A84018,601022.0,174.0,455.85,426.81,12397.0,3.0
A84020,601022.0,252.0,1484.67,1381.87,33818.0,3.0
A84022,601022.0,406.0,1913.16,1791.93,34357.0,3.0
A84024,601022.0,223.0,1169.17,1093.11,18706.0,3.0
A84025,601022.0,144.0,466.5,436.5,11943.0,3.0
A84026,601022.0,333.0,1929.34,1805.17,35336.0,3.0
A84027,601022.0,117.0,347.04,325.73,6727.0,3.0
A84028,601022.0,728.0,3591.44,3350.52,64435.0,2.0
A84029,601022.0,169.0,391.14,365.82,10668.0,3.0
A84030,601022.0,312.0,1468.98,1378.82,31988.0,3.0
A84031,601022.0,177.0,802.38,747.35,21433.0,3.0
