PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
discrete,continuous,continuous,continuous,continuous,continuous,continuous
,,,,,,
A82048,601011.0,35.0,1891.36,1752.35,290.0,2.0
A82048,601012.0,63.0,2871.35,2660.45,477.0,2.0
A82049,601011.0,25.0,1016.74,942.11,170.0,1.0
A82049,601012.0,56.0,2565.62,2377.17,435.0,1.0
A82050,601011.0,47.0,2287.91,2119.82,353.0,3.0
A82050,601012.0,86.0,3158.45,2926.68,560.0,3.0
A82053,601011.0,13.0,507.85,470.6,95.0,3.0
A82053,601012.0,34.0,1606.07,1488.1,238.0,3.0
A82055,601011.0,34.0,1391.95,1289.87,221.0,3.0
A82055,601012.0,92.0,3683.8,3413.98,584.0,3.0
A82058,601011.0,33.0,1230.3,1140.01,194.0,3.0
A82058,601012.0,44.0,1777.97,1647.76,261.0,3.0
A82060,601011.0,20.0,850.15,787.68,128.0,3.0
A82060,601012.0,35.0,1733.49,1606.08,273.0,3.0
A82062,601011.0,12.0,504.96,468.01,87.0,2.0
A82062,601012.0,37.0,1582.59,1466.57,299.0,2.0
A82064,601011.0,27.0,947.78,878.35,143.0,3.0
A82064,601012.0,70.0,2302.47,2133.82,410.0,3.0
A82065,601011.0,15.0,548.82,508.55,100.0,3.0
A82065,601012.0,37.0,1254.8,1162.76,220.0,3.0
A82068,601011.0,15.0,672.36,622.99,100.0,3.0
A82068,601012.0,34.0,1553.46,1439.35,265.0,3.0
A82070,601011.0,24.0,974.15,902.74,164.0,3.0
A82070,601012.0,29.0,1211.45,1122.44,179.0,3.0
A82071,601011.0,25.0,1051.18,974.01,195.0,1.0
A82071,601012.0,45.0,1934.66,1792.71,323.0,1.0
A82072,601011.0,34.0,1596.66,1479.47,261.0,3.0
A82072,601012.0,52.0,2137.94,1981.48,351.0,3.0
A82074,601011.0,5.0,135.76,125.83,25.0,3.0
A82074,601012.0,15.0,595.74,552.01,85.0,3.0
A82075,601011.0,27.0,1457.35,1350.26,232.0,2.0
A82075,601012.0,44.0,1645.65,1524.89,259.0,2.0
A82077,601011.0,15.0,692.51,641.66,108.0,1.0
A82077,601012.0,29.0,1262.04,1169.38,220.0,1.0
A82608,601011.0,25.0,830.64,769.6,130.0,3.0
A82608,601012.0,29.0,1011.61,937.27,166.0,3.0
A82613,601011.0,2.0,56.62,52.44,10.0,3.0
A82613,601012.0,9.0,310.54,287.65,60.0,3.0
A82617,601011.0,8.0,350.89,325.02,54.0,3.0
A82617,601012.0,15.0,458.81,424.98,75.0,3.0
A82621,601011.0,7.0,262.81,243.44,45.0,3.0
A82621,601012.0,12.0,369.27,342.04,70.0,3.0
