PRACTICE,SUB_CHAPTER,ITEMS,NIC,ACT COST,QUANTITY,ClusterNumber
A82039,601012,70,3378.15,3130.09,599,3
A82041,601011,60,2952.35,2735.68,463,2
A82041,601012,106,4740.22,4392.05,768,2
A82044,601011,121,5363.28,4969.67,856,3
A82044,601012,211,9005.22,8344.47,1380,3
A82045,601011,44,1731.23,1604.37,276,3
A82045,601012,88,3933.74,3645.07,635,3
A82046,601011,21,860.36,797.21,139,1
A82046,601012,26,1103.64,1022.61,170,1
A82047,601011,68,2549.78,2362.68,389,3
A82047,601012,84,3077.25,2851.47,480,3
A82048,601011,35,1891.36,1752.35,290,2
A82048,601012,63,2871.35,2660.45,477,2
A82049,601011,25,1016.74,942.11,170,1
A82049,601012,56,2565.62,2377.17,435,1
A82050,601011,47,2287.91,2119.82,353,3
A82050,601012,86,3158.45,2926.68,560,3
A82053,601011,13,507.85,470.6,95,3
A82053,601012,34,1606.07,1488.1,238,3
A82055,601011,34,1391.95,1289.87,221,3
A82055,601012,92,3683.8,3413.98,584,3
A82058,601011,33,1230.3,1140.01,194,3
A82058,601012,44,1777.97,1647.76,261,3
A82060,601011,20,850.15,787.68,128,3
A82060,601012,35,1733.49,1606.08,273,3
A82062,601011,12,504.96,468.01,87,2
A82062,601012,37,1582.59,1466.57,299,2
A82064,601011,27,947.78,878.35,143,3
A82064,601012,70,2302.47,2133.82,410,3
A82065,601011,15,548.82,508.55,100,3
A82065,601012,37,1254.8,1162.76,220,3
A82068,601011,15,672.36,622.99,100,3
A82068,601012,34,1553.46,1439.35,265,3
A82070,601011,24,974.15,902.74,164,3
A82070,601012,29,1211.45,1122.44,179,3
A82071,601011,25,1051.18,974.01,195,1
A82071,601012,45,1934.66,1792.71,323,1
A82072,601011,34,1596.66,1479.47,261,3
A82072,601012,52,2137.94,1981.48,351,3
A82074,601011,5,135.76,125.83,25,3
A82074,601012,15,595.74,552.01,85,3
A82075,601011,27,1457.35,1350.26,232,2
A82075,601012,44,1645.65,1524.89,259,2
A82077,601011,15,692.51,641.66,108,1
A82077,601012,29,1262.04,1169.38,220,1
A82608,601011,25,830.64,769.6,130,3
A82608,601012,29,1011.61,937.27,166,3
A82613,601011,2,56.62,52.44,10,3
A82613,601012,9,310.54,287.65,60,3
A82617,601011,8,350.89,325.02,54,3
A82617,601012,15,458.81,424.98,75,3
A82621,601011,7,262.81,243.44,45,3
A82621,601012,12,369.27,342.04,70,3
A82623,601011,24,897.82,831.9,144,3
A82623,601012,56,1886.66,1748.33,351,3
A82629,601011,12,571.32,529.36,88,2
A82629,601012,24,960.62,890.1,170,2
A82631,601011,18,640.22,593.04,106,3
A82631,601012,22,950.58,880.51,145,3
A82646,601011,18,635.77,589.13,100,3
A82646,601012,47,2061.84,1910.41,298,3
A82647,601011,7,238.19,220.67,37,3
A82647,601012,15,586.81,543.63,90,3
A82650,601011,7,289.94,268.58,35,3
A82650,601012,12,494.52,458.07,85,3
A82651,601011,14,738.12,683.73,117,3
A82651,601012,17,715.8,663.04,115,3
A82654,601011,40,1779.9,1649.2,275,1
A82654,601012,63,2859.7,2649.87,419,1
A83001,601011,53,2496.7,2313.34,381,1
A83001,601012,111,5442.98,5043.9,805,1
A83003,601011,48,2091.71,1938.42,307,2
A83003,601012,98,3851.94,3569.38,634,2
A83004,601011,15,628.55,582.4,110,2
A83004,601012,47,1748.01,1619.72,325,2
A83005,601011,50,1889.71,1751.04,288,3
A83005,601012,113,4968.94,4604.32,792,3
A83006,601011,36,1380.78,1279.63,192,1
A83006,601012,59,3063.59,2838.54,509,1
A83007,601011,25,1085.34,1005.67,175,2
A83007,601012,119,5218.42,4835.44,979,2
A83008,601011,21,824,763.53,125,2
A83008,601012,53,2607.7,2416.13,405,2
A83009,601011,45,2291.91,2123.53,346,3
A83009,601012,69,3752.24,3477.02,521,3
A83010,601011,54,2511.69,2327.21,431,3
A83010,601012,118,4975.37,4610.4,812,3
A83011,601011,69,4155.06,3849.61,616,0
A83011,601012,86,5783.94,5358.64,738,0
A83012,601011,68,3033.61,2810.79,508,2
A83012,601012,182,8510.02,7885.77,1444,2
A83013,601011,36,1426.23,1321.56,214,2
A83013,601012,76,3363.21,3116.43,542,2
