PRACTICE,SUB_CHAPTER,Items,NIC,ACT COST,QUANTITY,ClusterNumber
A85020,601022,347,1587.28,1488.99,36416,3
A85021,601022,107,368.21,349.39,4182,0
A85023,601022,253,582.98,557.33,13328,2
A85024,601022,120,470.18,439.58,7042,3
A85026,601022,171,584.74,546.75,12880,1
A85609,601022,69,306.08,286.38,5572,3
A85611,601022,266,740.73,699.54,18244,1
A85614,601022,185,440.59,416.32,11539,0
A85616,601022,213,803.33,754.35,15811,1
A85617,601022,120,457.56,427.48,8964,1
A85620,601022,125,436.59,409.95,9878,1
A86003,601022,776,1769.24,1680.61,45027,0
A86004,601022,461,2191.02,2038.76,52294,2
A86005,601022,259,1081.57,1013.46,19540,1
A86006,601022,123,625.37,584.42,12868,3
A86007,601022,25,180.66,168.44,3666,0
A86008,601022,302,1256.67,1175.44,30409,1
A86010,601022,252,638.61,604.82,17982,1
A86011,601022,688,1915.47,1805.4,41717,2
A86012,601022,551,1201,1125.04,37534,2
A86013,601022,360,1255.66,1176.39,28611,2
A86015,601022,121,457.63,429.09,9933,1
A86016,601022,211,959.93,898.98,17450,1
A86017,601022,586,1641.7,1547.84,39512,2
A86018,601022,223,889.53,832.14,25019,1
A86020,601022,71,375.11,350.74,6860,1
A86021,601022,621,1505.79,1418.85,38726,2
A86022,601022,289,904.33,851.45,18760,3
A86023,601022,316,919.98,867.04,25393,2
A86024,601022,242,546.72,519.28,13653,0
A86025,601022,622,1927.84,1816.28,43407,2
A86026,601022,291,810.96,761.38,19712,3
A86027,601022,27,136.96,127.41,3752,0
A86028,601022,154,502.9,473.02,13736,1
A86029,601022,908,2414.99,2290.63,54596,2
A86030,601022,587,1223.77,1156.42,36205,2
A86031,601022,308,1091.97,1023.28,26990,0
A86033,601022,99,342.51,321.77,8467,1
A86035,601022,84,341.07,317.78,9184,1
A86036,601022,199,534.69,505.23,13041,1
A86037,601022,448,1335.23,1254.87,29333,2
A86038,601022,313,949.86,892.89,19579,3
A86040,601022,333,687.21,649.91,18949,2
A86041,601022,227,622.01,583.77,15426,1
A86601,601022,232,946.63,884.88,26647,1
A87002,601022,319,1008.03,947.78,23792,3
A87003,601022,392,2128.21,1990.28,37271,3
A87004,601022,539,2309.81,2164.61,49953,1
A87005,601022,322,1295.2,1219.21,29831,3
A87006,601022,150,753.54,705.35,15518,3
A87007,601022,384,1223.46,1151.91,28265,3
A87008,601022,191,695.2,652.1,16016,1
A87009,601022,532,1733.83,1631.98,40142,1
A87011,601022,201,794.26,746.59,17124,1
A87012,601022,388,1311.22,1233.78,26652,3
A87013,601022,378,1333.13,1254.52,31073,2
A87014,601022,164,588.26,551.43,13117,1
A87015,601022,216,817.26,765.6,21607,3
A87016,601022,453,1511.99,1423.59,29073,1
A87017,601022,167,609.95,570.54,12511,3
A87019,601022,208,577.95,544.85,13206,3
A87020,601022,150,785.91,732.74,18625,1
A87022,601022,140,711.17,663.07,16927,1
A87023,601022,222,815.77,768.08,16590,1
A87027,601022,279,1547.81,1447.67,28999,2
A87029,601022,237,921,863.58,18790,2
A87030,601022,171,445.43,420.79,10409,2
A87600,601022,128,400.49,376.34,9515,1
A87612,601022,261,710.74,669.27,16168,1
A87615,601022,148,589.08,550.47,15979,1
A88001,601022,201,633.66,597.95,11294,3
A88002,601022,627,2675.08,2510.62,45061,1
A88003,601022,431,2089.98,1965.64,20697,3
A88004,601022,215,1263.16,1176.34,23671,2
A88005,601022,242,1015.8,953.78,15962,2
A88006,601022,254,1106.59,1035.87,24038,2
A88007,601022,300,1664.87,1557.47,28395,1
A88008,601022,333,1057.16,998.19,26502,2
A88009,601022,179,632.77,591.66,16184,1
A88010,601022,230,648.03,617.02,10822,3
A88012,601022,294,960.57,905.59,20461,1
A88013,601022,626,2556.61,2400.18,45780,1
A88014,601022,91,382.11,359.06,5558,2
A88015,601022,358,1056.05,997.46,21624,2
A88016,601022,277,1756.07,1643.26,20284,1
A88022,601022,288,1310.33,1226.91,21205,1
A88023,601022,208,644.54,607.82,12508,3
A88025,601022,149,756.16,704.17,15756,2
A88601,601022,91,580.92,542.02,7413,3
A88603,601022,16,85.68,79.66,1204,2
A88608,601022,223,1237.52,1155.71,17260,3
A88613,601022,139,574.93,538.28,12154,3
A89001,601022,845,2795.09,2628.17,45472,2
A89002,601022,210,478.32,454.49,13167,2
A89004,601022,874,2315.82,2194.28,53206,3
A89005,601022,224,861.68,807.82,21858,3
A89006,601022,403,1737.24,1630.39,26955,2
A89007,601022,445,1858.79,1739.16,42542,1
A89008,601022,277,999.77,941.3,19994,2
A89009,601022,400,1493.84,1399.56,30723,1
A89010,601022,462,1952.33,1829.3,45290,3
A89011,601022,187,645.42,606.85,13930,1
A89012,601022,574,1721.19,1623.52,32475,1
A89013,601022,269,987.86,929.56,21763,3
A89014,601022,16,26.94,25.65,721,1
A89015,601022,235,1356.3,1265.04,30167,3
A89016,601022,274,1049.51,984.81,25067,1
A89017,601022,503,1794.6,1682.59,42459,2
A89018,601022,257,803.71,755.82,18990,2
A89019,601022,582,1417.54,1335.96,36186,2
A89020,601022,358,1485.64,1394.06,25801,1
A89021,601022,438,1307.38,1238.66,29181,1
A89022,601022,244,1042.89,978.55,19371,3
A89023,601022,427,1200.38,1132.35,32399,3
A89024,601022,275,942.25,883.19,22139,3
A89025,601022,530,1701.85,1603.79,33461,0
A89026,601022,143,405.73,381.82,8984,3
A89027,601022,275,845.57,794.19,20571,1
A89028,601022,369,1191.28,1118.96,24038,1
A89030,601022,342,876.74,831.4,20979,1
A89031,601022,194,664.27,624.72,15850,2
A89032,601022,447,1337.2,1263.58,34708,1
A89034,601022,121,660.71,617.91,10792,0
A89035,601022,441,1143.73,1079.98,27836,1
A89036,601022,152,361.88,342.87,8899,2
A89040,601022,279,782.9,739.25,18901,3
A89041,601022,267,770.07,726.13,17835,2
A89603,601022,83,218.92,205.52,6608,2
A89604,601022,278,888.9,835.73,17690,2
A89612,601022,97,313.59,293.85,6988,0
A89614,601022,195,600.04,563.02,14588,2
A89616,601022,99,290.17,272.72,6998,1
A89617,601022,215,617.5,586.03,13587,1
A89620,601022,139,624.45,583.04,12563,3
A89623,601022,92,371.54,348.19,8741,1
A89624,601022,121,353.18,331.94,7707,2
B81002,601022,181,495.6,465.61,13042,2
B81003,601022,500,1848.28,1736.12,31319,3
B81004,601022,455,2025.83,1886.31,33266,3
B81005,601022,734,2843.18,2651.46,55880,3
B81006,601022,301,1613.23,1500.14,33069,3
B81007,601022,346,1405.18,1305.28,27680,3
B81008,601022,1229,4253.86,3983.13,92211,2
B81009,601022,364,1392.49,1299.74,25706,3
B81010,601022,437,1559.07,1456.2,36075,3
B81011,601022,511,1893.86,1769.76,43360,2
B81012,601022,182,493.58,464.96,12963,2
B81013,601022,301,1676.51,1559.17,28802,1
B81014,601022,342,1502.88,1402.02,24807,3
B81015,601022,729,2351.54,2198.13,57584,2
B81016,601022,328,1528.76,1424.76,30258,2
B81017,601022,338,1054.58,986.85,25965,2
B81018,601022,463,1221.14,1145.45,29994,2
B81020,601022,344,1198.7,1121.48,28169,2
B81021,601022,251,1304.95,1216.87,26204,3
B81022,601022,643,2656.17,2481.48,47710,3
B81023,601022,246,1482.28,1382.47,22827,3
B81024,601022,226,1442.61,1343.99,23614,3
B81025,601022,873,3409.73,3172.17,69178,3
B81026,601022,742,3944.36,3675.11,63591,2
B81027,601022,492,1414.52,1331.5,34111,2
B81029,601022,346,1606.15,1491.02,28536,3
B81030,601022,366,2100.94,1955.76,43659,3
B81031,601022,425,1854.63,1725.67,35872,1
B81032,601022,195,545.88,513.54,12308,2
B81034,601022,468,1727.48,1602.4,36387,3
B81035,601022,245,969.76,907.59,18410,1
B81036,601022,465,2255.19,2096.6,34704,3
B81037,601022,627,3522.77,3270.38,54202,3
B81038,601022,393,1306.87,1225.42,32251,2
B81039,601022,899,4154.11,3864.63,74570,3
B81040,601022,798,2367.91,2217.06,57542,2
B81041,601022,175,681.99,633.44,13692,3
B81042,601022,355,1131.51,1060.99,20622,3
B81043,601022,509,2329.65,2164.07,43756,3
B81045,601022,487,2582.48,2403.5,46655,3
B81046,601022,534,1351.2,1270.97,41617,2
B81047,601022,233,946.36,885.06,18164,2
B81048,601022,433,1842.35,1722.1,38648,0
B81049,601022,310,1609.83,1498.22,34188,2
B81050,601022,461,1629.06,1513.88,40025,3
B81051,601022,254,1240.33,1157.76,25734,3
B81052,601022,118,745.41,694.52,11552,0
B81053,601022,592,2294.57,2140.09,47603,2
B81054,601022,542,1776.11,1673.01,38287,2
B81055,601022,191,633.48,595.17,11234,3
B81056,601022,699,2019.93,1895.19,52143,1
B81058,601022,328,1016.5,950.9,26061,2
B81060,601022,340,1283.96,1197.13,26364,3
B81061,601022,860,3862.39,3596.68,62494,1
B81062,601022,475,1982.62,1841.92,36829,3
B81063,601022,268,898.78,835.56,20685,3
B81064,601022,362,1877.68,1748.68,28964,3
B81065,601022,411,1793.96,1666.16,33959,3
B81066,601022,110,282.31,265.56,8809,2
B81068,601022,524,2425.39,2258.2,46527,1
B81069,601022,529,2126.74,1979.4,47236,3
B81070,601022,316,1381.81,1286.7,26976,3
B81074,601022,206,650.24,610.47,12579,2
B81075,601022,77,315.5,293.37,8708,3
B81077,601022,335,1566.56,1463.76,33420,1
B81080,601022,134,478.67,446.55,11179,2
B81082,601022,105,825.35,766.51,12877,1
B81085,601022,149,468.58,459.18,11448,3
B81087,601022,419,1114.66,1047.49,25284,2
B81088,601022,226,1206.94,1123.97,15064,3
B81089,601022,163,466.83,436.34,12472,2
B81090,601022,227,924.23,863.3,20121,2
B81091,601022,106,359.16,334.4,13520,1
B81092,601022,377,1530.29,1421.18,30942,3
B81095,601022,200,570.35,535.49,14676,3
B81097,601022,69,204.25,192.16,5981,3
B81099,601022,212,1014.57,942.16,18443,3
B81100,601022,116,510.77,478.37,9600,3
B81101,601022,430,2166.85,2015.2,42586,1
B81104,601022,48,300.82,279.86,3716,0
B81108,601022,145,678.06,633.17,11911,1
B81109,601022,597,2445.54,2278.3,46929,3
B81112,601022,331,1113.07,1042.1,24206,2
B81113,601022,221,1201.93,1118.29,19110,2
B81118,601022,334,1459.18,1359.16,29607,2
B81119,601022,234,806.86,754.69,19789,2
B81121,601022,101,445.47,415.3,7728,1
B81602,601022,65,315.1,292.97,6397,3
B81603,601022,93,414.87,386.75,8408,2
B81606,601022,162,562.4,524.73,14428,2
B81616,601022,118,342.37,319.9,8882,2
B81617,601022,348,1556.08,1448.5,28385,2
B81619,601022,175,629.63,587.96,14664,3
B81620,601022,116,415.52,391.94,5656,2
B81628,601022,151,461.8,427.75,11116,3
B81631,601022,228,504.63,472.65,16947,2
B81635,601022,134,578.66,540.66,12142,3
B81642,601022,148,610.35,568.91,10192,3
B81645,601022,158,523.34,488.82,12827,2
B81647,601022,129,635.51,591.16,12152,1
B81648,601022,116,317.78,294.47,5040,1
B81653,601022,100,452.7,421.37,9476,3
B81655,601022,55,405.89,376.96,4853,2
B81656,601022,212,1089.46,1014.61,16268,2
B81658,601022,93,301.7,281.71,8544,1
B81663,601022,68,365.67,340.48,7338,1
B81664,601022,92,405.52,378.17,9084,2
B81665,601022,43,244.34,227.05,5348,1
B81666,601022,18,177.38,164.95,3220,3
B81675,601022,421,1453.73,1360.71,29975,2
B81677,601022,135,783.25,728.4,14595,2
B81682,601022,150,556.63,521.45,10578,2
B81688,601022,104,331.53,310.68,7612,2
B81692,601022,129,380.76,356.69,8925,0
B81693,601022,83,293.84,276.13,5796,0
B81697,601022,93,437.27,408.79,6678,2
B82001,601022,266,1403.23,1306.93,31284,3
B82002,601022,221,776.41,722.37,18852,3
B82004,601022,389,1512.51,1406.18,25681,3
B82005,601022,1096,5198.49,4847.36,110778,1
B82007,601022,233,956.69,888.01,18110,3
B82008,601022,280,798.37,745.92,20222,3
B82010,601022,201,806.14,750.66,17394,3
B82011,601022,216,640.4,594.5,13034,3
B82012,601022,290,1156.53,1076.29,22792,1
B82013,601022,429,1358.09,1269.27,33849,1
B82014,601022,157,685.6,638.38,15234,1
B82016,601022,121,711.04,660.46,15330,1
B82017,601022,540,1830.15,1706.65,40940,3
B82018,601022,165,692.23,641.67,13440,3
B82019,601022,110,438.53,406.5,9793,1
B82020,601022,379,1283.34,1204.02,26658,3
B82021,601022,139,831.11,773.75,16475,1
B82022,601022,147,550.87,513.26,12548,3
B82023,601022,254,761.99,714.28,20426,1
B82024,601022,288,1301.95,1212.1,24012,2
B82025,601022,766,2337.1,2193.51,52617,1
B82026,601022,922,3955.97,3684.74,82258,3
B82027,601022,261,1231.39,1146.34,29528,1
B82028,601022,279,1465.73,1365.7,29478,3
B82029,601022,118,330.83,306.46,9352,3
B82030,601022,156,542.4,505.49,13888,3
B82031,601022,210,745.17,692.74,17936,1
B82032,601022,311,1162.31,1080.15,28524,3
B82033,601022,380,1324,1235.29,28959,3
B82034,601022,196,730.75,680.22,19321,3
B82035,601022,130,555.74,515.57,9355,3
B82036,601022,296,834.43,778.57,21700,3
B82037,601022,417,1576.54,1470.11,33565,3
B82038,601022,173,788.64,733.25,20092,1
B82041,601022,566,1904.51,1777.01,44105,3
B82042,601022,270,1003.65,933.63,20628,3
B82044,601022,171,911.77,847.16,23856,3
B82045,601022,142,415.12,387.01,9310,3
B82046,601022,166,557.07,517.22,12544,3
B82047,601022,125,920.81,856.11,14002,0
B82049,601022,190,618.08,575.34,15428,3
B82050,601022,749,2573.47,2394.94,64786,3
B82053,601022,324,1629.42,1516.88,32343,1
B82054,601022,505,1438.04,1346.72,34105,3
B82057,601022,173,641.65,594.55,13328,1
B82059,601022,310,1485.24,1382.04,33620,3
B82060,601022,341,1273.03,1186.84,32155,3
B82061,601022,218,965.98,899.29,20498,3
B82062,601022,67,292.67,271.68,4508,3
B82063,601022,379,1171.2,1093.65,20058,3
B82064,601022,65,285.82,264.78,5992,1
B82066,601022,335,1179.82,1100.17,29342,3
B82067,601022,150,707.73,659.44,14295,1
B82068,601022,189,530.6,500.22,10192,3
B82069,601022,270,925.69,863.65,19130,3
B82071,601022,117,480.57,448.06,12406,3
B82072,601022,193,664.69,619.68,13389,3
B82073,601022,416,1753.64,1634.67,29825,1
B82074,601022,313,1728.74,1606.96,38234,1
B82075,601022,408,1207.63,1126.68,32692,3
B82077,601022,199,862.62,804.3,15607,3
B82078,601022,201,593.17,551.35,14559,3
B82079,601022,89,324.91,301.48,7756,3
B82080,601022,517,1919.12,1786.72,39209,3
B82081,601022,202,684.7,635.12,13209,1
B82083,601022,967,3943.77,3679.07,89322,1
B82086,601022,57,171.13,158.56,3388,3
B82088,601022,340,1411.65,1313.89,30732,1
B82091,601022,109,432.55,403.51,9664,1
B82092,601022,214,733.87,687.32,13622,2
B82097,601022,173,1205.32,1119.22,26266,1
B82098,601022,253,1455.85,1354.07,32295,1
B82100,601022,195,945.77,882.16,22271,1
B82101,601022,257,798.06,741.37,18462,3
B82103,601022,33,174.87,162.69,4268,3
B82104,601022,185,629.84,587.66,16128,0
B82105,601022,305,1436.72,1336.32,26252,3
