PRACTICE,ITEMS  ,NIC        ,ACT COST   ,QUANTITY,PERIOD
C82037,21336,137166.91000000015,127764.71999999999,1983135,310636480
C82038,52397,470321.1700000007,437464.3600000003,4763223,531309408
C82039,18573,117264.75000000006,109390.55000000006,1290113,343112112
C82041,19517,157073.47000000006,146101.50999999995,1809269,371755216
C82042,17206,150658.8900000001,139945.2400000002,1270202,337262464
C82043,25652,170736.1899999998,158834.8799999998,1683148,380630544
C82044,13483,97616.89000000003,90492.60999999981,729585,274933456
C82045,9798,77778.31000000004,72280.3499999999,704751,259401632
C82046,28523,246375.20000000054,229158.46000000002,2851067,447195504
C82047,23688,151524.72999999992,141369.06999999977,1665537,379218560
C82048,6090,52126.02999999991,48422.270000000004,437364,206553088
C82050,22666,184970.95999999988,171898.49999999968,1660143,372562064
C82051,18833,134241.85,124723.26000000018,1324224,338876160
C82052,7077,58180.60000000005,54053.049999999945,496595,212402736
C82053,17102,158438.39000000033,147280.15999999992,1655756,347549776
C82054,22418,155125.61000000007,144082.57999999967,1466750,352996000
C82055,18905,167520.74999999983,155611.01000000033,1546224,353399424
C82056,16173,158840.84000000017,147457.42999999996,1381428,357837088
C82059,2845,20223.479999999992,18838.74999999999,264027,126876848
C82060,5403,36509.31999999995,33928.45999999998,391155,177708272
C82061,19878,150373.52,139828.6,1430608,340893280
C82062,10187,104410.36000000004,97226.78,810952,294902944
C82063,14814,145418.94000000003,135083.49999999965,1754795,336455616
C82064,21565,180342.05000000013,167586.65000000008,1961377,381033968
C82066,20688,182544.25000000006,169889.88999999993,1985644,374175760
C82067,10939,105473.13999999991,98020.78000000009,1016994,308215936
C82068,19765,161974.00999999975,150461.4299999997,1351590,350777168
C82070,12834,125191.61000000006,116307.76999999984,1017726,305190256
C82071,19806,157098.15999999995,146293.93999999968,1492584,370141520
C82072,10625,94869.43000000036,88312.65000000011,886070,269285520
C82073,20222,160944.37999999983,149751.21000000008,1966620,371553504
C82075,20494,130143.60999999997,120958.25000000009,1351013,330605968
C82076,8914,65627.10000000003,60950.00999999986,518506,253350272
C82077,22588,128304.37000000011,119453.37999999999,995416,340691568
C82078,13608,139192.78999999978,129427.39000000003,1318373,327378576
C82079,10242,106933.59999999996,99391.71999999999,912810,285624192
C82080,7206,46267.67999999994,43609.49000000001,588738,194652080
C82082,11422,77182.39999999998,71740.77999999998,640522,265654704
C82084,3517,26594.960000000006,24704.960000000032,274130,111546736
C82086,11280,82389.61999999998,76578.0699999999,819141,256577664
C82088,12331,97929.72000000009,91289.16000000008,1085888,285220768
C82091,13472,86300.23999999979,80371.84000000007,941025,271706064
C82092,5054,36707.71999999995,34167.65000000002,288848,166815824
C82093,17151,113147.46000000025,105057.01000000011,1054508,322739200
C82094,9221,82249.50999999995,76447.11999999995,760837,247904048
C82095,14079,105741.5500000001,98547.31999999985,975635,292885824
C82096,12885,94437.75000000001,87782.90000000002,930871,286632752
C82097,1321,14364.73,13487.289999999988,107807,90165264
C82098,11178,94933.60000000012,88181.23,872846,261015328
C82099,5966,41286.25999999997,38555.60000000001,442576,193240096
C82100,10544,78378.75999999994,72903.62000000002,698076,255972528
C82102,6724,45174.549999999996,41869.87000000003,344368,193441808
C82103,16748,127741.40000000005,118718.84999999987,1769563,380428832
C82105,1221,11481.389999999998,10661.879999999992,121050,87139584
C82107,12913,76921.72,71591.06999999985,1040973,256577664
C82109,6118,42255.09000000002,39215.41999999992,476540,210183904
C82111,3612,34343.37999999997,31906.319999999967,340777,179321968
C82112,6478,43120.029999999955,40235.639999999985,477834,209578768
C82114,3055,20157.15000000002,19013.609999999997,255018,141803536
C82116,4977,35664.86,34374.85999999995,488472,158545632
C82119,4272,25083.239999999994,23362.239999999998,276813,145232640
C82120,5674,55018.000000000044,51145.720000000016,524705,198081184
C82121,22125,180264.40000000026,167840.14999999985,1858664,368124400
C82122,6068,54350.3,50467.799999999916,555822,222891760
C82123,10878,77479.40999999997,71958.87999999998,683718,289658432
C82124,5630,52886.44000000006,49207.62,450330,228741408
C82600,8179,62992.420000000035,58676.07,621092,232977360
C82610,4574,46439.00000000001,43213.71000000001,388360,156931936
C82611,7890,56899.2599999999,52943.689999999944,482322,225715728
C82614,6197,44737.04999999993,41663.95,406759,193441808
C82620,4519,19290.229999999985,18092.580000000027,220280,129095680
C82623,6092,37372.390000000014,34842.60000000001,486947,184566480
C82624,9388,64478.15999999998,60002.92999999997,690356,234792768
C82626,2812,20695.12,19243.010000000002,169667,122842608
C82627,6615,51718.16999999993,48166.009999999915,507709,194853792
C82628,5396,36571.73999999998,34194.12999999996,298001,182751072
C82631,6581,66372.31999999996,61642.83000000002,631172,233380784
C82634,5120,32352.05,30080.250000000036,291994,164798704
C82639,8033,58988.70999999998,54820.01999999997,604072,220874640
C82642,12931,86802.45000000003,80749.44999999998,1115294,247702336
C82643,18380,106611.64000000003,100149.33999999997,1503390,296113216
C82644,6790,48786.540000000015,45480.32000000002,552458,197072624
C82649,8365,57205.770000000004,53155.86999999993,427999,228136272
C82650,7307,54228.85000000004,50477.85000000003,462329,224505456
C82651,5588,31996.45999999997,29745.629999999972,461165,151687424
C82653,2269,13983.669999999998,13062.890000000009,148279,104486816
C82656,6857,37866.49,35504.41999999994,365681,177708272
C82657,2996,19885.72,18485.930000000015,159141,130104240
C82659,4100,24413.43000000002,22823.489999999972,371530,129297392
C82660,9938,73089.73000000005,68424.6499999999,844283,257384512
C82662,3922,34959.00000000005,32475.229999999974,408895,162781584
C82663,6419,49714.22000000003,46199.50999999996,365318,199089744
C82667,10541,77478.45000000004,72007.85000000005,1056943,268075248
C82669,5158,38151.73999999993,35459.159999999945,367007,174682592
C82670,3179,12441.979999999985,11810.310000000007,154667,88753280
C82671,5541,35539.84000000001,33087.55000000004,516648,149266880
C82676,10351,88069.95000000011,81848.74000000006,1303656,298735472
C82678,15294,105271.04000000011,98436.36999999992,1199298,302164576
C82680,7382,56706.530000000035,52708.65000000003,813202,216638688
C83001,18193,122789.46999999996,114593.38999999996,946811,320520368
C83002,14542,127539.23000000008,118391.87000000024,1245116,341498416
C83003,40704,259549.2300000003,242205.28999999978,2143383,469988960
C83004,15257,155186.44000000003,144263.44999999987,1445168,355819968
C83005,22279,136269.18000000008,126744.41000000002,1203910,313662160
C83006,9690,88087.13000000016,81779.69999999978,702487,291070416
C83007,62148,461688.1199999991,429172.7100000002,3855864,581737408
C83008,6664,46832.37999999994,43526.53999999993,452210,214016432
C83009,21677,168281.63000000006,156738.15999999995,1655270,384261360
C83010,19475,151839.57000000007,141418.25999999995,1342416,367115840
C83011,18486,155650.98000000004,144482.38000000003,1119271,350373744
C83013,18483,135703.38000000018,126181.27000000022,1005633,348760048
C83014,18510,138831.78999999998,129385.58000000013,1198240,343918960
C83015,24366,145819.6299999998,135653.23,1106420,338674448
C83016,5461,35696.34,33286.16000000001,312819,171253488
C83017,27,2151.6800000000007,1993.38,1776,3429104
C83018,32155,217232.70000000016,202711.54999999952,2299724,411895904
C83019,67370,504855.32999999984,472199.60000000015,4512285,561767920
C83020,22029,141288.6500000001,130984.06999999967,1151511,326975152
C83022,48595,310594.8299999996,289894.0600000005,2148324,445985232
C83023,41980,270887.29000000027,252193.45000000024,2765932,462929040
C83024,7274,45641.19,42290.35999999998,350466,194046944
C83025,20587,163910.5299999996,152533.31999999992,1242992,371351792
C83026,48288,350483.65999999887,325375.64,3003168,533124816
C83027,23943,182816.13000000038,170134.97,1512969,410080496
C83028,19148,147030.42,136538.22,1257130,361064480
C83029,12654,85466.20000000014,79544.54999999993,723227,291070416
C83030,13937,95445.38000000006,88419.92999999989,858680,295508080
C83031,31352,204096.88000000038,189899.35000000003,1823748,429646560
C83032,19425,140254.74999999988,130200.67000000022,1236854,324958032
